Word,count1,count2,Categories,Frequency
af,374,4843,Slang,5217
asap,114,1026,Slang,1140
chillin,200,1687,Slang,1887
sis,185,1506,Slang,1691
smh,936,7625,Slang,8561
stfu,122,1275,Slang,1397
ugh,411,3489,Slang,3900
wat,441,3714,Slang,4155
wtf,516,4417,Slang,4933
xd,170,1641,Slang,1811
HASHgetalljobs,204,980,HashTag,1184
HASHjobs,1855,6883,HashTag,8738
HASHsorrynotsorry,9,510,HashTag,519
HASHwinning,180,763,HashTag,943
ass,1959,19042,Vulgarity,21001
bitch,1256,13515,Vulgarity,14771
bullshit,166,1406,Vulgarity,1572
damn,1402,13329,Vulgarity,14731
fuck,2050,21474,Vulgarity,23524
fucked,242,2592,Vulgarity,2834
fucking,765,8756,Vulgarity,9521
hell,951,8780,Vulgarity,9731
shit,2674,27923,Vulgarity,30597
